mizo_word,english_definition
ka,I / My
lawm,happy / thankful / appreciate
e,(emphasis particle)
thil,thing / object
hi,this
duh,want / like
lo,not / do not
chu,that / as for
harsa,difficult / hard
tura,to be / for
hria,know / understand
an,they / their
siam,make / build
a,it / he / she
tha,good / fine
lutuk,very much / extremely
vawiin,today
nuam,pleasant / nice
hle,very / highly
thleng,arrive / reach
tep,almost / about to
dawr,shop / store
neitu,owner
pa,man / father
kha,that (past referred)
sual,bad / wicked / rude
muang,slow
khawp,very / quite
mai,just / simply
thianpa,friend (male)
ti,do / say
hian,like this
zel,continue / keep going
rawh,(command particle)
kal,go / walk
lo_kal,come
chuan,if / by / then
in,you / house
englaimawm,sometimes
leh,and / again
nihna,identity / status
tui,water / tasty
bazar,market
chaw,food / rice
ei,eat
in_tur,drink
hming,name
khawngaihin,please
ka_lawm_e,thank you
min,me / us
pe,give
la,take / still
hmu,see / find
nei,have / possess
